,ground_truth,detectron-all,score,detectron-0.5,detectron-0.6,detectron-0.7,detectron-0.8
0,1,1,0.861,1,1,1,1
1,0,0,0.0,0,0,0,0
2,0,0,0.0,0,0,0,0
3,1,1,0.784,1,1,1,0
4,0,1,0.584,1,0,0,0
5,0,0,0.0,0,0,0,0
6,0,1,0.625,1,1,0,0
7,1,1,0.97,1,1,1,1
8,1,1,0.97,1,1,1,1
9,0,0,0.0,0,0,0,0
10,0,0,0.0,0,0,0,0
11,1,1,0.993,1,1,1,1
12,1,1,0.993,1,1,1,1
13,0,0,0.0,0,0,0,0
14,0,0,0.0,0,0,0,0
15,0,0,0.0,0,0,0,0
16,0,0,0.0,0,0,0,0
17,0,0,0.0,0,0,0,0
18,0,0,0.0,0,0,0,0
19,1,1,0.998,1,1,1,1
20,1,1,0.998,1,1,1,1
21,0,0,0.0,0,0,0,0
22,0,0,0.0,0,0,0,0
23,0,0,0.0,0,0,0,0
24,0,0,0.0,0,0,0,0
25,0,1,0.94,1,1,1,1
26,0,0,0.0,0,0,0,0
27,0,0,0.0,0,0,0,0
28,0,0,0.0,0,0,0,0
29,0,0,0.0,0,0,0,0
30,1,1,0.967,1,1,1,1
31,0,0,0.0,0,0,0,0
32,0,0,0.0,0,0,0,0
33,0,0,0.0,0,0,0,0
34,0,0,0.0,0,0,0,0
35,1,1,0.99,1,1,1,1
36,1,1,0.952,1,1,1,1
37,1,1,0.61,1,1,0,0
38,0,0,0.0,0,0,0,0
39,0,0,0.0,0,0,0,0
40,0,0,0.0,0,0,0,0
41,0,0,0.0,0,0,0,0
42,0,1,0.943,1,1,1,1
43,1,1,0.521,1,0,0,0
44,0,0,0.0,0,0,0,0
45,0,0,0.0,0,0,0,0
46,0,0,0.0,0,0,0,0
47,0,0,0.0,0,0,0,0
48,0,0,0.0,0,0,0,0
49,0,0,0.0,0,0,0,0
50,1,1,0.998,1,1,1,1
51,1,1,0.998,1,1,1,1
52,1,1,0.998,1,1,1,1
53,0,0,0.0,0,0,0,0
54,0,0,0.0,0,0,0,0
55,0,0,0.0,0,0,0,0
