,     ,mediaID,groundTruth,labels_detectron,labels_megadetector,labels_openpose,accuracy_detectron,accuracy_megadetector,accuracy_openpose
0,0,000238d8-5a98-42d3-9be1-8c9f0b9e6f26,1,1,0,0,0.860966206,0,0
1,1,001613ce-c5d4-407e-a343-70ad9376840b,0,0,0,1,0,0,0.249263223
2,2,001f15a3-d79f-426e-a06d-bac66d930b7a,0,0,0,1,0,0,0.194766056
3,3,002dcebc-f5f5-4934-a8cc-2e8f12e908ea,1,1,1,1,0.783884704,0.625,0.213695546
4,4,004639ba-6f25-4999-b019-17b0a65598a3,0,1,0,0,0.583825886,0,0
5,5,004d3518-31c9-4e08-845a-98814ed15254,0,0,0,0,0,0,0
6,6,004d3518-31c9-4e08-845a-98814ed15254,0,1,0,0,0.62508142,0,0
7,7,00774326-a38c-44cc-91e6-300140e435eb,1,1,0,1,0.970484614,0,0.524332544
8,8,00774326-a38c-44cc-91e6-300140e435eb,1,1,0,1,0.970484614,0,0.524332544
9,9,00775314-a450-4995-8688-5e6e0a29c226,0,0,0,0,0,0,0
10,10,00775314-a450-4995-8688-5e6e0a29c226,0,0,0,0,0,0,0
11,11,0079add1-a27c-4ced-a9a3-73690395e9f3,1,1,0,1,0.992652118,0,0.554137019
12,12,0079add1-a27c-4ced-a9a3-73690395e9f3,1,1,0,1,0.992652118,0,0.554137019
13,13,007a45ed-270a-453f-8139-a4db925f7a35,0,0,0,0,0,0,0
14,14,00818f40-38d0-4f41-bac8-fbd6f05038da,0,0,0,1,0,0,0.383506703
15,15,0085583f-d7fe-43f9-be20-c9ee26d5e4c3,0,0,0,0,0,0,0
16,16,0087a4b8-1c55-4c48-a7ff-39cf2675e509,0,0,0,0,0,0,0
17,17,00889466-b224-4fbd-8201-7d09bcbd757d,0,0,0,1,0,0,0.230879973
18,18,00a820a8-6f5d-4f65-b777-026d1b709e29,0,0,0,1,0,0,0.260501449
19,19,00b416ca-1485-437c-9449-30deaf148c76,1,1,1,1,0.997684717,0.722,0.369305257
20,20,00b416ca-1485-437c-9449-30deaf148c76,1,1,1,1,0.997684717,0.722,0.369305257
21,21,00b77230-5fd7-4d20-871e-18e4c38261a0,0,0,0,1,0,0,0.281707334
22,22,00b8b3d5-9e17-4795-ace0-23bcf45a1d80,0,0,0,0,0,0,0
23,23,00c37151-8d78-4fd3-ad6d-bbd72b30686f,0,0,0,0,0,0,0
24,24,00c37151-8d78-4fd3-ad6d-bbd72b30686f,0,0,0,0,0,0,0
25,25,00cd226f-0b0b-4997-aaae-b4d07940b8ae,0,1,0,0,0.939942062,0,0
26,26,00d9607a-e454-47f5-ae12-807a06b1b3ab,0,0,0,0,0,0,0
27,27,00d9607a-e454-47f5-ae12-807a06b1b3ab,0,0,0,0,0,0,0
28,28,00d9607a-e454-47f5-ae12-807a06b1b3ab,0,0,0,0,0,0,0
29,29,00d9607a-e454-47f5-ae12-807a06b1b3ab,0,0,0,0,0,0,0
30,30,00e9a01a-2078-4bb8-bc08-2d6e09f005f8,1,1,1,0,0.966579258,0.918,0
31,31,00ed75e9-bf2d-4d2e-9f6a-cf751a5d6ddc,0,0,0,1,0,0,0.160728597
32,32,00ee5bba-c652-47eb-87fc-3f93b70fd9e8,0,0,0,0,0,0,0
33,33,00fa51d9-cacb-4663-90b5-a0defcf1952b,0,0,0,0,0,0,0
34,34,0102b4bf-e3d1-449b-b38f-30e6c190a107,0,0,0,0,0,0,0
35,35,010877e9-7d8b-43c2-adf3-07c5205487fc,1,1,1,0,0.989558458,0.921,0
36,36,010877e9-7d8b-43c2-adf3-07c5205487fc,1,1,1,0,0.951948166,0.921,0
37,37,010877e9-7d8b-43c2-adf3-07c5205487fc,1,1,1,0,0.610450387,0.921,0
38,38,011809ba-345a-4599-9f2a-e7a4b3d4d765,0,0,0,1,0,0,0.263603335
39,39,011809ba-345a-4599-9f2a-e7a4b3d4d765,0,0,0,1,0,0,0.263603335
40,40,011809ba-345a-4599-9f2a-e7a4b3d4d765,0,0,0,1,0,0,0.263603335
41,41,0120034b-2f71-45c8-8e4a-40b3fd6bbab9,0,0,0,1,0,0,0.232651016
42,42,0120034b-2f71-45c8-8e4a-40b3fd6bbab9,0,1,0,1,0.942997396,0,0.232651016
43,43,013c73f3-7b36-4361-b20f-bf53705f8f79,1,1,1,0,0.521494031,0.176,0
44,44,014938d0-484f-4348-8992-be2198745a98,0,0,0,0,0,0,0
45,45,01578124-b23d-4c3a-bcea-d2a75889f853,0,0,0,0,0,0,0
46,46,01578124-b23d-4c3a-bcea-d2a75889f853,0,0,0,0,0,0,0
47,47,01578124-b23d-4c3a-bcea-d2a75889f853,0,0,0,0,0,0,0
48,48,01578124-b23d-4c3a-bcea-d2a75889f853,0,0,0,0,0,0,0
49,49,01578124-b23d-4c3a-bcea-d2a75889f853,0,0,0,0,0,0,0
50,50,016bb9e3-0947-4ffc-94cf-203304e8b38b,1,1,0,1,0.997645557,0,0.664833858
51,51,016bb9e3-0947-4ffc-94cf-203304e8b38b,1,1,0,1,0.997645557,0,0.664833858
52,52,016bb9e3-0947-4ffc-94cf-203304e8b38b,1,1,0,1,0.997645557,0,0.664833858
53,53,017563ab-247c-455a-83ea-5280baffbf93,0,0,0,0,0,0,0
54,54,017563ab-247c-455a-83ea-5280baffbf93,0,0,0,0,0,0,0
55,55,017a29ea-f3c9-4bae-bb5c-1693254aaa0a,0,0,0,0,0,0,0
56,56,0182b18b-adf4-45fb-a252-09699f292bf1,1,1,0,1,0.928216696,0,0.252671109
57,57,0182b18b-adf4-45fb-a252-09699f292bf1,1,1,0,1,0.928216696,0,0.252671109
58,58,019a72bb-c9b5-4189-b4fa-648bace373f7,0,0,0,0,0,0,0
59,59,019a72bb-c9b5-4189-b4fa-648bace373f7,0,0,0,0,0,0,0
60,60,01a131d0-6588-4fb6-ba44-d9c28efd3d9e,0,0,0,0,0,0,0
61,61,01a131d0-6588-4fb6-ba44-d9c28efd3d9e,0,1,0,0,0.560542047,0,0
62,62,01a4e856-11d3-49fb-b7e5-a4cac6fa9a61,0,0,0,1,0,0,0.234841978
63,63,01a6ba7d-259f-4242-aaa6-84c4c2e03ea2,0,0,0,0,0,0,0
64,64,01b4d250-4751-45e9-bbe5-9ba804602560,0,1,0,0,0.810080051,0,0
65,65,01d5590c-e429-4c5c-9c8a-48b8a9f6a277,1,1,1,1,0.996731877,0.941,0.166864948
66,66,01d5e69c-7338-46fb-810b-2a080aa9d25e,0,0,0,0,0,0,0
67,67,01d5e69c-7338-46fb-810b-2a080aa9d25e,0,0,0,0,0,0,0
68,68,01d5e69c-7338-46fb-810b-2a080aa9d25e,0,0,0,0,0,0,0
69,69,021319bd-cd99-441d-94a7-b64216746a9f,0,0,0,0,0,0,0
70,70,021a8112-8c3d-49e6-8366-7f187df0fcc5,0,0,0,1,0,0,0.282155413
71,71,021a8112-8c3d-49e6-8366-7f187df0fcc5,0,0,0,1,0,0,0.282155413
72,72,021a8112-8c3d-49e6-8366-7f187df0fcc5,0,1,0,1,0.556824982,0,0.282155413
73,73,0224acce-057c-4abc-bc82-797ea533659c,1,1,1,0,0.661291301,0.938,0
74,74,022d697c-e10e-40a6-bd5f-7315c4cd1edc,1,1,1,0,0.995342016,0.855,0
75,75,02314930-e392-42df-8d58-92f9830011ad,0,1,0,0,0.54554522,0,0
76,76,023d9abe-68e6-4197-a9ab-54028ce0ef92,1,1,1,0,0.923979342,0.921,0
77,77,024260d3-058b-4b27-8f1a-444205dcb52d,1,1,1,0,0.995418072,0.96,0
78,78,0246d15e-4d02-4b57-ad75-4ff9413aaf00,0,0,0,0,0,0,0
79,79,024b8957-d762-4ede-bd11-b67d41220c47,0,0,0,0,0,0,0
80,80,024b8957-d762-4ede-bd11-b67d41220c47,0,1,0,0,0.558090568,0,0
81,81,024c1c8a-f2a2-4508-a33d-60952bea87cd,1,1,0,0,0.917413831,0,0
82,82,026606a1-2d48-45e9-879b-654ffd3bcfe0,0,0,0,0,0,0,0
83,83,026feb6f-9a78-4db6-9e4d-011ff847fd69,0,0,1,0,0,0.927,0
84,84,0270c3f9-ebbf-4cd8-a065-705396000abe,0,0,0,1,0,0,0.212063398
85,85,027f63ab-2cde-4ac5-b375-6c6daf693730,0,0,0,0,0,0,0
86,86,02825c66-c3af-469b-9b4b-a9e4f882c238,0,0,0,0,0,0,0
87,87,02931267-6735-407f-ac26-e95cb4312aac,0,0,0,0,0,0,0
88,88,029e9fa7-9bb0-483a-97d2-a2115f62be7b,0,0,0,0,0,0,0
89,89,02b22b56-ce5e-4e2c-a6a3-36107aa06a0d,0,0,0,0,0,0,0
90,90,02b6b08b-e5ee-4d2b-aca3-0a05d120cb5f,1,1,1,0,0.983548343,0.891,0
91,91,02bb6400-295a-4c0c-91d0-e840135f8958,0,0,0,0,0,0,0
92,92,02c0cfb3-7775-493c-be4b-14185c8ec37c,0,1,1,1,0.995446861,0.869,0.146004472
93,93,02c0cfb3-7775-493c-be4b-14185c8ec37c,0,1,1,1,0.972511053,0.869,0.146004472
94,94,02c0cfb3-7775-493c-be4b-14185c8ec37c,0,1,1,1,0.965220094,0.869,0.146004472
95,95,02c0cfb3-7775-493c-be4b-14185c8ec37c,0,1,1,1,0.962488294,0.869,0.146004472
96,96,02c0cfb3-7775-493c-be4b-14185c8ec37c,0,1,1,1,0.913616538,0.869,0.146004472
97,97,02cff804-2bce-4b70-9005-aef4dd68853c,0,0,0,0,0,0,0
98,98,02f657d6-667b-4062-86ec-1c7afc5047e7,1,1,1,0,0.996391118,0.933,0
99,99,030547ea-cbe4-4094-ad6c-e9be107eb8b5,0,1,0,1,0.794206262,0,0.318522821
100,100,030547ea-cbe4-4094-ad6c-e9be107eb8b5,0,1,0,1,0.794206262,0,0.318522821
101,101,031fa8e5-d28f-43b9-99fa-9e18f74f76dd,0,0,0,0,0,0,0
102,102,031fa8e5-d28f-43b9-99fa-9e18f74f76dd,0,0,0,0,0,0,0
103,103,032ad301-17b2-408b-81de-7d266e952bed,0,0,0,0,0,0,0
104,104,03457941-54ba-41d7-bfea-c0572351a310,0,0,0,0,0,0,0
105,105,03457941-54ba-41d7-bfea-c0572351a310,0,0,0,0,0,0,0
106,106,0345dbab-682e-4782-818d-488996b62499,0,0,0,1,0,0,0.374931561
107,107,03466a76-6f56-4064-a4e8-d0df5f2d3d6e,1,1,1,0,0.972862363,0.529,0
108,108,034e758d-5184-4829-a3e8-25c2de5303b5,0,0,0,1,0,0,0.307501544
109,109,03741864-d63b-448e-8d31-093616f37724,1,1,0,0,0.953238904,0,0
110,110,037614d3-527d-4950-aec1-b909ef36101b,0,0,0,0,0,0,0
111,111,0393599c-b193-475a-9490-a70f9274b386,0,0,0,1,0,0,0.229062902
112,112,0397287e-cc0c-46b8-a6c9-444b5d7483eb,0,0,0,0,0,0,0
113,113,03994bbc-5123-49ad-9769-7cb598a9bbe7,0,0,0,0,0,0,0
114,114,039cfffa-62b4-4e04-bd44-2a253a92540b,0,0,0,0,0,0,0
115,115,039cfffa-62b4-4e04-bd44-2a253a92540b,0,1,0,0,0.816694796,0,0
116,116,03e36c77-0ec3-4b46-91e2-823dd86fa0b6,0,0,0,0,0,0,0
117,117,03f34732-2bf2-461c-a6da-59d68e869484,1,0,1,0,0,0.0506,0
118,118,03f34732-2bf2-461c-a6da-59d68e869484,1,0,1,0,0,0.0506,0
119,119,040be548-7eec-48f3-9362-53e5ca896d81,0,1,0,1,0.991221666,0,0.581798819
120,120,040be548-7eec-48f3-9362-53e5ca896d81,0,1,0,1,0.989880085,0,0.581798819
121,121,040be548-7eec-48f3-9362-53e5ca896d81,0,1,0,1,0.950305939,0,0.581798819
122,122,040be548-7eec-48f3-9362-53e5ca896d81,0,1,0,1,0.775296986,0,0.581798819
123,123,040be548-7eec-48f3-9362-53e5ca896d81,0,1,0,1,0.693570256,0,0.581798819
124,124,040f79c1-ad06-4af9-9144-8927c90777c0,0,0,0,0,0,0,0
125,125,04237a2b-2407-4f37-a37a-a991dffb3740,0,1,0,0,0.845731616,0,0
126,126,0438a9dd-0a5a-47d0-84a4-441c7ad28948,0,0,0,0,0,0,0
127,127,0438e3db-7ede-467a-ad0a-3c96e1d2338d,0,0,0,1,0,0,0.194767824
128,128,0440dcde-3f93-4944-a44e-e9368cc908cf,0,0,0,1,0,0,0.250295138
129,129,0447a161-b4f9-4218-adcc-d842250665a5,0,0,0,0,0,0,0
130,130,045d11df-caa2-4498-9102-9c116decf8f1,1,1,0,1,0.956950605,0,0.274333518
131,131,045d11df-caa2-4498-9102-9c116decf8f1,1,1,0,1,0.932215989,0,0.274333518
132,132,045d11df-caa2-4498-9102-9c116decf8f1,1,1,0,1,0.932215989,0,0.274333518
133,133,045e6d1a-9b9f-4d94-a1e3-5541fdc197d6,0,0,0,0,0,0,0
134,134,04663ad9-b253-4424-8ffd-36cbafffd9ff,1,1,0,1,0.998530984,0,0.518978634
135,135,04663ad9-b253-4424-8ffd-36cbafffd9ff,1,1,0,1,0.998530984,0,0.518978634
136,136,04663ad9-b253-4424-8ffd-36cbafffd9ff,1,1,0,1,0.998530984,0,0.518978634
137,137,04663ad9-b253-4424-8ffd-36cbafffd9ff,1,1,0,1,0.998530984,0,0.518978634
138,138,0472fe13-e0e1-4d93-bdc7-ae4763a92bcc,0,0,0,0,0,0,0
139,139,04777d6c-fc3e-4025-a4cd-2a63f2d80675,1,1,1,0,0.945626915,0.918,0
140,140,047d4bee-b607-454d-a168-82ac7dbe41d4,0,0,0,0,0,0,0
141,141,047d4bee-b607-454d-a168-82ac7dbe41d4,0,0,0,0,0,0,0
142,142,0487f9df-3318-4dba-a93e-573bf0625a8b,0,0,0,0,0,0,0
143,143,048ec633-95a0-41ca-ab8f-3f24f893f119,1,1,1,1,0.896509111,0.61,0.185150701
144,144,048ec633-95a0-41ca-ab8f-3f24f893f119,1,1,1,1,0.515972733,0.61,0.185150701
145,145,049ebff4-75d7-4d60-a855-fa5f19012761,1,1,1,1,0.921066225,0.778,0.331310996
146,146,04a6f213-b61a-470c-a204-6f4debaa61a6,1,0,1,0,0,0.625,0
147,147,04a6f213-b61a-470c-a204-6f4debaa61a6,1,0,1,0,0,0.625,0
148,148,04bb1f29-a5b8-4ff7-bd91-059fe0fcf43b,0,0,0,0,0,0,0
149,149,04bcc5af-74c9-441f-8e99-22c869e309de,0,0,0,0,0,0,0
150,150,04d37c61-6afa-44a8-a38d-f14c681f85b5,0,0,0,0,0,0,0
151,151,04d41560-95eb-447e-8799-068a1227d8bf,1,0,1,1,0,0.749,0.374749614
152,152,04d41560-95eb-447e-8799-068a1227d8bf,1,1,1,1,0.923056602,0.749,0.374749614
153,153,04d41560-95eb-447e-8799-068a1227d8bf,1,1,1,1,0.742163479,0.749,0.374749614
154,154,04d41560-95eb-447e-8799-068a1227d8bf,1,1,1,1,0.742163479,0.749,0.374749614
155,155,04d41560-95eb-447e-8799-068a1227d8bf,1,1,1,1,0.672549903,0.749,0.374749614
156,156,04d41560-95eb-447e-8799-068a1227d8bf,1,1,1,1,0.672549903,0.749,0.374749614
157,157,04d78af5-d611-4e30-b05b-ad65e62dffa7,0,0,0,0,0,0,0
158,158,04f2f7f3-e31f-4096-bf74-076b3e977765,0,0,0,0,0,0,0
159,159,0506bbf9-1b50-4024-b87c-a0f0e0dc6ea0,0,0,1,1,0,0.848,0.217038796
160,160,0506bbf9-1b50-4024-b87c-a0f0e0dc6ea0,0,0,1,1,0,0.848,0.217038796
